date,series_week,adjusted_cases,reported_cases,tests,normalized_wws,wws_week_start,wws_week_end
2020-07-19,29,2536.927,988.0,162199.0,0.0192699,2020-07-14,2020-07-14
2020-07-26,30,1635.232,783.0,169653.0,0.0289762,2020-07-15,2020-07-21
2020-08-02,31,1373.59,565.0,148863.0,0.013015,2020-07-22,2020-07-28
2020-08-09,32,1947.761,594.0,166645.0,0.3326922,2020-07-29,2020-08-04
2020-08-16,33,1561.352,688.0,163250.0,0.0552977,2020-08-05,2020-08-11
2020-08-23,34,2923.398,833.0,160459.0,0.1884816,2020-08-12,2020-08-18
2020-08-30,35,2094.249,972.0,166607.0,0.1043221,2020-08-19,2020-08-25
2020-09-06,36,3198.117,1492.0,165044.0,0.3035774,2020-08-26,2020-09-01
2020-09-13,37,3839.123,2344.0,212763.0,0.2141118,2020-09-02,2020-09-08
2020-09-20,38,5856.299,3114.0,245883.0,0.512117,2020-09-09,2020-09-15
2020-09-27,39,9570.155,4194.0,275865.0,0.5205156,2020-09-16,2020-09-22
2020-10-04,40,14839.36,5009.0,277435.0,0.8086571,2020-09-23,2020-09-29
2020-10-11,41,15941.06,5280.0,239731.0,1.447833,2020-09-30,2020-10-06
2020-10-18,42,23150.38,5944.0,226868.0,1.231326,2020-10-07,2020-10-13
2020-10-25,43,30981.81,6347.0,207646.0,1.764155,2020-10-14,2020-10-20
2020-11-01,44,36015.69,7505.0,206564.0,1.712134,2020-10-21,2020-10-27
2020-11-08,45,47671.98,10444.0,230660.0,1.005318,2020-10-28,2020-11-03
2020-11-15,46,34263.88,10034.0,242625.0,1.470491,2020-11-04,2020-11-10
2020-11-22,47,46326.39,10956.0,271681.0,1.241396,2020-11-11,2020-11-17
2020-11-29,48,43249.45,12472.0,293302.0,0.9485074,2020-11-18,2020-11-24
2020-12-06,49,50294.95,13019.0,324797.0,0.6647516,2020-11-25,2020-12-01
2020-12-13,50,64212.37,14979.0,341093.0,1.083884,2020-12-02,2020-12-08
2020-12-20,51,63149.87,14792.0,332518.0,0.7637013,2020-12-09,2020-12-15
2020-12-27,52,74236.58,19184.0,293030.0,0.4898687,2020-12-16,2020-12-22
2021-01-03,53,96203.4,23421.0,335049.0,0.6874301,2020-12-23,2020-12-31
2021-01-10,54,83746.05,19714.0,349567.0,1.265804,2021-01-01,2021-01-07
2021-01-17,55,64156.14,14809.0,324837.0,0.5016181,2021-01-08,2021-01-14
2021-01-24,56,46662.84,11230.0,307754.0,0.4420672,2021-01-15,2021-01-21
2021-01-31,57,34538.21,9545.0,298269.0,0.2891999,2021-01-22,2021-01-28
2021-02-07,58,21283.27,7749.0,295845.0,0.343675,2021-01-29,2021-02-04
2021-02-14,59,17036.8,7264.0,274098.0,0.2095957,2021-02-05,2021-02-11
2021-02-21,60,12840.05,7336.0,306175.0,0.2858357,2021-02-12,2021-02-18
2021-02-28,61,12691.22,7748.0,305311.0,0.2215385,2021-02-19,2021-02-25
2021-03-07,62,14307.08,9153.0,311610.0,0.419656,2021-02-26,2021-03-04
2021-03-14,63,17163.89,10734.0,290348.0,0.3783127,2021-03-05,2021-03-11
2021-03-21,64,20794.16,14251.0,300530.0,0.2992171,2021-03-12,2021-03-18
2021-03-28,65,25724.99,18749.0,323389.0,0.25743,2021-03-19,2021-03-25
2021-04-04,66,29460.63,25603.0,324524.0,0.4326093,2021-03-26,2021-04-01
2021-04-11,67,37291.32,30691.0,338473.0,0.5542099,2021-04-02,2021-04-08
2021-04-18,68,32979.41,27995.0,310751.0,0.5826483,2021-04-09,2021-04-15
2021-04-25,69,31870.95,24877.0,288835.0,0.636658,2021-04-16,2021-04-22
2021-05-02,70,25467.55,20586.0,272169.0,0.4674303,2021-04-23,2021-04-29
2021-05-09,71,20587.99,16430.0,242782.0,0.3722187,2021-04-30,2021-05-06
2021-05-16,72,18042.64,12558.0,210164.0,0.3647127,2021-05-07,2021-05-13
2021-05-23,73,10510.08,7745.0,180184.0,0.2617788,2021-05-14,2021-05-20
2021-05-30,74,8445.938,5132.0,169309.0,0.222751,2021-05-21,2021-05-27
2021-06-06,75,5997.063,3425.0,151513.0,0.1943921,2021-05-28,2021-06-03
2021-06-13,76,3819.863,2420.0,144763.0,0.0985314,2021-06-04,2021-06-10
2021-06-20,77,3433.312,1865.0,143445.0,0.119311,2021-06-11,2021-06-17
2021-06-27,78,4344.304,1437.0,128426.0,0.1144316,2021-06-18,2021-06-24
2021-07-04,79,2022.277,1207.0,131620.0,0.1274623,2021-06-25,2021-07-01
2021-07-11,80,2139.108,1034.0,134607.0,0.0783914,2021-07-02,2021-07-08
2021-07-18,81,2201.485,1097.0,117197.0,0.0533628,2021-07-09,2021-07-15
2021-07-25,82,2272.977,1324.0,119670.0,0.0565628,2021-07-16,2021-07-22
2021-08-01,83,2133.797,1873.0,123706.0,0.0790548,2021-07-23,2021-07-29
2021-08-08,84,3514.276,3176.0,142344.0,0.0957825,2021-07-30,2021-08-05
2021-08-15,85,4985.274,4051.0,145233.0,0.0719659,2021-08-06,2021-08-12
2021-08-22,86,5626.772,4759.0,152675.0,0.1081093,2021-08-13,2021-08-19
2021-08-29,87,7036.74,5118.0,150256.0,0.1036779,2021-08-20,2021-08-26
2021-09-05,88,7410.029,5020.0,145036.0,0.1183435,2021-08-27,2021-09-02
2021-09-12,89,6547.47,4889.0,180601.0,0.1134699,2021-09-03,2021-09-09
2021-09-19,90,7298.702,4330.0,164197.0,0.1109719,2021-09-10,2021-09-16
2021-09-26,91,6476.022,3956.0,202328.0,0.102725,2021-09-17,2021-09-23
2021-10-03,92,6053.487,3754.0,206285.0,0.078027,2021-09-24,2021-09-30
2021-10-10,93,4642.912,2891.0,175623.0,0.0624928,2021-10-01,2021-10-07
2021-10-17,94,4319.394,2605.0,170540.0,0.1027499,2021-10-08,2021-10-14
2021-10-24,95,3766.79,2465.0,164090.0,0.0598467,2021-10-15,2021-10-21
2021-10-31,96,4839.469,3196.0,175190.0,0.0476195,2021-10-22,2021-10-28
2021-11-07,97,7541.217,3970.0,183568.0,0.0436392,2021-10-29,2021-11-04
2021-11-14,98,7322.487,4480.0,191334.0,0.0643225,2021-11-05,2021-11-11
2021-11-21,99,8936.711,5354.0,196873.0,0.0869782,2021-11-12,2021-11-18
2021-11-28,100,10581.58,6458.0,212893.0,0.1197429,2021-11-19,2021-11-25
2021-12-05,101,12627.01,8966.0,243479.0,0.1184005,2021-11-26,2021-12-02
2021-12-12,102,19640.24,19186.0,301612.0,0.1086679,2021-12-03,2021-12-09
2021-12-19,103,40769.71,53617.0,365997.0,0.1528992,2021-12-10,2021-12-16
2021-12-26,104,103885.0,107648.0,392409.0,0.5310839,2021-12-17,2021-12-23
2022-01-02,105,211691.5,93768.0,358458.0,1.775985,2021-12-24,2021-12-31
2022-01-09,106,238145.9,64250.0,296044.0,2.024112,2022-01-01,2022-01-07
2022-01-16,107,183530.0,38828.0,219048.0,2.482994,2022-01-08,2022-01-14
2022-01-23,108,154385.5,29964.0,195440.0,1.41454,2022-01-15,2022-01-21
2022-01-30,109,97520.35,20806.0,165879.0,0.7835718,2022-01-22,2022-01-28
2022-02-06,110,48906.65,16507.0,141144.0,0.5767635,2022-01-29,2022-02-04
2022-02-13,111,40285.36,12421.0,122173.0,0.3838672,2022-02-05,2022-02-11
2022-02-20,112,30304.63,11587.0,124379.0,0.3065055,2022-02-12,2022-02-18
2022-02-27,113,24396.88,10677.0,114792.0,0.2279217,2022-02-19,2022-02-25
2022-03-06,114,22677.55,10507.0,92735.0,0.2605934,2022-02-26,2022-03-04
2022-03-13,115,25243.16,10544.0,84676.0,0.2293219,2022-03-05,2022-03-11
2022-03-20,116,32387.96,13833.0,95798.0,0.376323,2022-03-12,2022-03-18
2022-03-27,117,46097.39,17012.0,101215.0,0.5538047,2022-03-19,2022-03-25
2022-04-03,118,74406.82,21572.0,116599.0,1.075787,2022-03-26,2022-04-01
2022-04-10,119,88474.91,21792.0,118196.0,1.455052,2022-04-02,2022-04-08
2022-04-17,120,118954.7,20905.0,118241.0,1.511877,2022-04-09,2022-04-15
2022-04-24,121,122209.8,16181.0,111431.0,1.473957,2022-04-16,2022-04-22
2022-05-01,122,110553.0,13261.0,101491.0,1.210393,2022-04-23,2022-04-29
2022-05-08,123,82610.98,10594.0,79262.0,1.04262,2022-04-30,2022-05-06
2022-05-15,124,76122.07,8002.0,84391.0,0.8895227,2022-05-07,2022-05-13
2022-05-22,125,42309.28,5681.0,71127.0,0.5298396,2022-05-14,2022-05-20
2022-05-29,126,39934.14,5066.0,69077.0,0.3880632,2022-05-21,2022-05-27
2022-06-05,127,29203.68,4463.0,61735.0,0.3469813,2022-05-28,2022-06-03
2022-06-12,128,30242.1,4017.0,55689.0,0.3378784,2022-06-04,2022-06-10
2022-06-19,129,46342.21,5042.0,54270.0,0.4220173,2022-06-11,2022-06-17
2022-06-26,130,46235.44,6128.0,51533.0,0.4373782,2022-06-18,2022-06-24
2022-07-03,131,73220.94,8263.0,60181.0,0.6712369,2022-06-25,2022-07-01
2022-07-10,132,113045.9,10485.0,67112.0,1.030039,2022-07-02,2022-07-08
2022-07-17,133,137326.4,11505.0,73545.0,1.091061,2022-07-09,2022-07-15
2022-07-24,134,123722.9,10581.0,72180.0,1.122126,2022-07-16,2022-07-22
2022-07-31,135,116426.5,9823.0,67863.0,1.034338,2022-07-23,2022-07-29
2022-08-07,136,104758.6,9322.0,69684.0,0.7709301,2022-07-30,2022-08-05
2022-08-14,137,98902.95,9065.0,68405.0,0.7037545,2022-08-06,2022-08-12
2022-08-21,138,98848.95,8564.0,66927.0,0.6354191,2022-08-13,2022-08-19
2022-08-28,139,90185.16,7596.0,55818.0,0.5536206,2022-08-20,2022-08-24
